7001,1,1001,2012-02-07 00:00:00
7002,1,1002,2012-02-06 00:00:00
7003,1,1003,2012-02-08 00:00:00
7004,2,1001,2012-02-29 00:00:00
7005,2,1002,2012-04-04 00:00:00
7006,4,1001,2012-05-27 00:00:00
7007,5,1002,2012-07-10 00:00:00
7008,5,1003,2012-08-03 00:00:00
7009,6,1004,2012-10-15 00:00:00
7010,7,1001,2012-11-07 00:00:00
7011,8,1002,2013-01-03 00:00:00
7012,9,1003,2013-02-17 00:00:00
7013,10,1004,2013-03-16 00:00:00
7014,11,1003,2013-03-16 00:00:00
7015,12,1002,2013-03-15 00:00:00
7016,13,1003,2013-06-03 00:00:00
7017,14,1001,2013-08-17 00:00:00
7018,15,1002,2013-08-18 00:00:00
7019,16,1001,2013-08-15 00:00:00
7020,17,1001,2013-11-25 00:00:00
7021,18,1001,2013-12-31 00:00:00
7022,20,1004,2013-12-31 00:00:00
7023,20,1003,2013-12-31 00:00:00
7024,21,1001,2013-12-31 00:00:00
7025,22,1002,2013-12-31 00:00:00
7026,23,1003,2013-12-31 00:00:00
7027,25,1002,2014-01-01 00:00:00
7028,25,1003,2014-01-03 00:00:00
7029,26,1002,2014-01-03 00:00:00
7030,27,1001,2014-01-20 00:00:00
